Source,Target,weight
Terry Notary,Zoe Saldana,2
Tessa Thompson,Tom Hiddleston,2
Tessa Thompson,Yvette Nicole Brown,2
Tiffany Espensen,Tom Holland,2
Tiffany Espensen,Yvette Nicole Brown,2
Tilda Swinton,Tom Hiddleston,2
Tom Holland,William Hurt,2
Vin Diesel,Zoe Saldana,4
William Hurt,Zoe Saldana,2
Winston Duke,Zola Williams,2
